Intersection_ID,starttime,PedAve,Intersection_ID,Latitude,Longitude,LatestCountTotal
192,12:00:00,3,192,42.959435,-78.813934,"20,492"
192,12:00:00,3,192,42.959435,-78.813934,"20,492"
192,12:15:00,2,192,42.959435,-78.813934,"20,492"
192,12:15:00,2,192,42.959435,-78.813934,"20,492"
192,12:30:00,4,192,42.959435,-78.813934,"20,492"
192,12:30:00,4,192,42.959435,-78.813934,"20,492"
192,12:45:00,2,192,42.959435,-78.813934,"20,492"
192,12:45:00,2,192,42.959435,-78.813934,"20,492"
192,13:00:00,4,192,42.959435,-78.813934,"20,492"
192,13:00:00,4,192,42.959435,-78.813934,"20,492"
192,13:15:00,3,192,42.959435,-78.813934,"20,492"
192,13:15:00,3,192,42.959435,-78.813934,"20,492"
192,13:30:00,1,192,42.959435,-78.813934,"20,492"
192,13:30:00,1,192,42.959435,-78.813934,"20,492"
192,13:45:00,3,192,42.959435,-78.813934,"20,492"
192,13:45:00,3,192,42.959435,-78.813934,"20,492"
192,15:00:00,5,192,42.959435,-78.813934,"20,492"
192,15:00:00,5,192,42.959435,-78.813934,"20,492"
192,15:15:00,6,192,42.959435,-78.813934,"20,492"
192,15:15:00,6,192,42.959435,-78.813934,"20,492"
192,15:30:00,5,192,42.959435,-78.813934,"20,492"
192,15:30:00,5,192,42.959435,-78.813934,"20,492"
192,15:45:00,4,192,42.959435,-78.813934,"20,492"
192,15:45:00,4,192,42.959435,-78.813934,"20,492"
192,16:00:00,3,192,42.959435,-78.813934,"20,492"
192,16:00:00,3,192,42.959435,-78.813934,"20,492"
192,16:15:00,3,192,42.959435,-78.813934,"20,492"
192,16:15:00,3,192,42.959435,-78.813934,"20,492"
192,16:30:00,6,192,42.959435,-78.813934,"20,492"
192,16:30:00,6,192,42.959435,-78.813934,"20,492"
192,16:45:00,5,192,42.959435,-78.813934,"20,492"
192,16:45:00,5,192,42.959435,-78.813934,"20,492"
192,17:00:00,4,192,42.959435,-78.813934,"20,492"
192,17:00:00,4,192,42.959435,-78.813934,"20,492"
192,17:15:00,3,192,42.959435,-78.813934,"20,492"
192,17:15:00,3,192,42.959435,-78.813934,"20,492"
192,17:30:00,8,192,42.959435,-78.813934,"20,492"
