Intersection_ID,starttime,PedAve,Latitude,Longitude,total_pop,black,OccoRat,Tree,Traffic,Resi,Vaca,Comm,ComSev,Assault,Homicide,Robbery,SexCrime,NonviolentCrime,Theft of Vehicle,BusStop,Housing Violations (Req_Serv),Police Issue (Req_Serv),Pot Hole (Req_Serv),road walking environment,Traffic problems,garbage problem,Junk service problem,Neighborhood Environmental Issues,other questions,starttime,CarAve,Assault,Breaking & Entering,Homicide,Other Sexual Offense,Robbery,Sexual Assault,Sexual Offense,Theft,Theft of Vehicle,ACCIDENT PROPERTY DAMAGE ONLY,ACCIDENT SKYWAY/33/198,ACCIDENT/INJURY
1,6:57:36,0,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,7:00:00,82,2,4,0,0,0,0,0,12,0,12,0,6
1,7:12:00,1,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,7:15:00,46,8,6,2,0,2,0,0,34,2,22,0,2
1,7:26:24,0,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,7:30:00,61,6,2,0,0,2,2,0,16,0,14,0,2
1,7:40:48,2,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,7:45:00,143,14,2,0,0,0,0,0,38,0,30,0,10
1,7:55:12,8,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,8:00:00,159,4,4,0,0,4,0,0,16,0,52,2,4
1,8:09:36,9,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,8:15:00,79.5,10,18,0,0,0,0,0,70,2,68,4,6
1,8:24:00,5,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,8:30:00,89.5,12,4,2,0,2,0,0,30,0,78,2,10
1,8:38:24,10,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,8:45:00,144,6,14,0,0,0,4,0,52,4,84,0,14
1,9:07:12,9,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,9:00:00,98,0,6,0,0,2,0,0,42,2,86,0,10
1,9:21:36,11,42.886148,-78.879889,2447,54.72006539,68.91615542,644,4610,0,5,49,26,1338,12,220,128,4286,246,44,4,14,594,54,20,4,2,14,246,9:15:00,123,10,22,0,2,2,2,0,90,4,82,0,4
