PedAve,CarAve,Latitude,Longitude,total_pop,black,OccoRat,Tree,Traffic,Resi,Vaca,Comm,ComSev,BusStop,Housing Violations (Req_Serv),Police Issue (Req_Serv),Pot Hole (Req_Serv),road walking environment,Traffic problems,garbage problem,Junk service problem,Neighborhood Environmental Issues,Assault,NovioCrime,Homicide,Robbery,SexualC,ACCIDENT PROPERTY DAMAGE ONLY,ACCIDENT SKYWAY/33/198,ACCIDENT/INJURY,Assault%,Homicide%,Robbery%,SexCrime%,NonviolentCrime%,Theft of Vehicle%
0,305.5,42.877921,-78.815801,83,0,77.19298246,44,510,56,23,29,2,22,0,2,42,2,0,0,6,6,0,2,0,0,0,2,0,0,72.28915663,2.409638554,9.638554217,9.638554217,289.1566265,53.01204819
0,254.5,42.877921,-78.815801,83,0,77.19298246,44,510,56,23,29,2,22,0,2,42,2,0,0,6,6,2,10,0,0,0,6,0,0,72.28915663,2.409638554,9.638554217,9.638554217,289.1566265,53.01204819
0,259.5,42.877921,-78.815801,83,0,77.19298246,44,510,56,23,29,2,22,0,2,42,2,0,0,6,6,0,0,0,0,0,4,0,0,72.28915663,2.409638554,9.638554217,9.638554217,289.1566265,53.01204819
0,126.5,42.9309,-78.899287,88,17.04545455,74.41860465,94,852,11,26,27,0,16,2,4,74,10,6,10,2,0,0,6,0,0,0,6,0,0,27.27272727,2.272727273,31.81818182,2.272727273,211.3636364,38.63636364
0,114,42.9309,-78.899287,88,17.04545455,74.41860465,94,852,11,26,27,0,16,2,4,74,10,6,10,2,0,0,0,0,0,0,0,0,0,27.27272727,2.272727273,31.81818182,2.272727273,211.3636364,38.63636364
0,97.5,42.9309,-78.899287,88,17.04545455,74.41860465,94,852,11,26,27,0,16,2,4,74,10,6,10,2,0,0,2,0,0,0,10,0,4,27.27272727,2.272727273,31.81818182,2.272727273,211.3636364,38.63636364
0,131,42.9309,-78.899287,88,17.04545455,74.41860465,94,852,11,26,27,0,16,2,4,74,10,6,10,2,0,0,2,0,0,0,10,0,4,27.27272727,2.272727273,31.81818182,2.272727273,211.3636364,38.63636364
0,122,42.953487,-78.878276,304,10.52631579,92.1686747,196,2018,0,11,23,0,18,2,2,34,0,4,0,0,0,0,12,0,0,0,8,0,0,40.13157895,1.973684211,24.34210526,2.631578947,1436.184211,24.34210526
0,306,42.953487,-78.878276,304,10.52631579,92.1686747,196,2018,0,11,23,0,18,2,2,34,0,4,0,0,0,0,10,0,0,0,12,2,2,40.13157895,1.973684211,24.34210526,2.631578947,1436.184211,24.34210526
0,77,42.889662,-78.839244,1361,71.56502572,64.14380322,1074,888,363,729,85,17,16,36,4,286,48,0,14,38,18,10,20,0,2,2,10,0,0,55.54739162,1.763409258,21.30786187,5.437178545,142.9831007,18.80969875
0,69,42.931329,-78.839262,1489,89.45601075,75.08650519,1048,802,598,305,49,3,18,64,2,480,72,20,36,46,42,0,2,0,0,2,2,0,4,51.4439221,1.611820013,13.83478845,2.41773002,83.00873069,17.46138348
